consulta,plano,tentativa,tempo
avanc_07,baseline,20,1.1182169999810867
avanc_08,baseline,1,0.2039504999993369
avanc_08,baseline,2,0.26438369997777045
avanc_08,baseline,3,0.21408050000900403
avanc_08,baseline,4,0.25321379996603355
avanc_08,baseline,5,0.19887239998206496
avanc_08,baseline,6,0.26852969999890774
avanc_08,baseline,7,0.21824660000856966
avanc_08,baseline,8,0.22797379997791722
avanc_08,baseline,9,0.23572229995625094
avanc_08,baseline,10,0.2141266000107862
avanc_08,baseline,11,0.26360880001448095
avanc_08,baseline,12,0.2099525000085123
avanc_08,baseline,13,0.26107139996020123
avanc_08,baseline,14,0.19995219999691471
avanc_08,baseline,15,0.2506731000030413
avanc_08,baseline,16,0.21349809999810532
avanc_08,baseline,17,0.2864558000001125
avanc_08,baseline,18,0.25580629997421056
avanc_08,baseline,19,0.201581500004977
avanc_08,baseline,20,0.2580084999790415
avanc_09,baseline,1,0.03565159998834133
avanc_09,baseline,2,0.03146160003961995
avanc_09,baseline,3,0.03585049998946488
avanc_09,baseline,4,0.0347567000426352
avanc_09,baseline,5,0.03577509999740869
avanc_09,baseline,6,0.03354599996237084
avanc_09,baseline,7,0.03529959998559207
avanc_09,baseline,8,0.04187330004060641
avanc_09,baseline,9,0.04481820005457848
avanc_09,baseline,10,0.035797799995634705
avanc_09,baseline,11,0.03628759999992326
avanc_09,baseline,12,0.033834800007753074
avanc_09,baseline,13,0.03246799996122718
avanc_09,baseline,14,0.031781199970282614
avanc_09,baseline,15,0.030533600016497076
avanc_09,baseline,16,0.03456170001300052
avanc_09,baseline,17,0.036138400027994066
avanc_09,baseline,18,0.042078199971001595
avanc_09,baseline,19,0.04031779995420948
avanc_09,baseline,20,0.0444046999909915
avanc_10,baseline,1,0.021899100043810904
avanc_10,baseline,2,0.01922810001997277
avanc_10,baseline,3,0.017942699952982366
avanc_10,baseline,4,0.01808429998345673
avanc_10,baseline,5,0.023026700015179813
avanc_10,baseline,6,0.022106100048404187
avanc_10,baseline,7,0.01986809994559735
avanc_10,baseline,8,0.018556000024545938
avanc_10,baseline,9,0.01857060001930222
avanc_10,baseline,10,0.018635899992659688
avanc_10,baseline,11,0.01820890000090003
avanc_10,baseline,12,0.0174797999789007
avanc_10,baseline,13,0.022544900013599545
avanc_10,baseline,14,0.017781800008378923
avanc_10,baseline,15,0.02380640001501888
avanc_10,baseline,16,0.018689499993342906
avanc_10,baseline,17,0.02026700001442805
avanc_10,baseline,18,0.02135869994526729
avanc_10,baseline,19,0.017367100052069873
avanc_10,baseline,20,0.01815979997627437
avanc_11,baseline,1,0.0389576000161469
avanc_11,baseline,2,0.033754699979908764
avanc_11,baseline,3,0.03965079999761656
avanc_11,baseline,4,0.034679100033827126
avanc_11,baseline,5,0.03543430002173409
avanc_11,baseline,6,0.03466410003602505
avanc_11,baseline,7,0.03299079998396337
avanc_11,baseline,8,0.043829299975186586
avanc_11,baseline,9,0.03864340001018718
avanc_11,baseline,10,0.04713290004292503
avanc_11,baseline,11,0.036722600052598864
avanc_11,baseline,12,0.03933629998937249
avanc_11,baseline,13,0.03380679996917024
avanc_11,baseline,14,0.041005800012499094
avanc_11,baseline,15,0.032780000008642673
avanc_11,baseline,16,0.03739860001951456
avanc_11,baseline,17,0.0512987999827601
avanc_11,baseline,18,0.034425599966198206
avanc_11,baseline,19,0.03776059998199344
avanc_11,baseline,20,0.03385800000978634
avanc_12,baseline,1,0.017034800024703145
avanc_12,baseline,2,0.016658000007737428
avanc_12,baseline,3,0.015786800009664148
avanc_12,baseline,4,0.015513000020291656
avanc_12,baseline,5,0.018063199997413903
avanc_12,baseline,6,0.015996499976608902
avanc_12,baseline,7,0.017667400010395795
avanc_12,baseline,8,0.015439899987541139
avanc_12,baseline,9,0.015115600021090358
avanc_12,baseline,10,0.014811299974098802
avanc_12,baseline,11,0.01474040001630783
avanc_12,baseline,12,0.013297200028318912
avanc_12,baseline,13,0.01349889999255538
avanc_12,baseline,14,0.014656299958005548
avanc_12,baseline,15,0.014317199995275587
avanc_12,baseline,16,0.015096999995876104
avanc_12,baseline,17,0.015262500033713877
avanc_12,baseline,18,0.01691720000235364
avanc_12,baseline,19,0.014372299949172884
avanc_12,baseline,20,0.014224299986381084
avanc_13,baseline,1,0.03555010003037751
avanc_13,baseline,2,0.037497199955396354
avanc_13,baseline,3,0.03811269998550415
avanc_13,baseline,4,0.0395472000236623
avanc_13,baseline,5,0.04527790000429377
avanc_13,baseline,6,0.043360000010579824
avanc_13,baseline,7,0.04405840003164485
avanc_13,baseline,8,0.047822599997743964
avanc_13,baseline,9,0.0466644000262022
avanc_13,baseline,10,0.04574759997194633
avanc_13,baseline,11,0.04041339998366311
avanc_13,baseline,12,0.04744300001766533
avanc_13,baseline,13,0.04424769995966926
avanc_13,baseline,14,0.044635600002948195
avanc_13,baseline,15,0.047252000018488616
avanc_13,baseline,16,0.047355799993965775
avanc_13,baseline,17,0.0621650000102818
avanc_13,baseline,18,0.03886859997874126
avanc_13,baseline,19,0.04037350002909079
avanc_13,baseline,20,0.04741619998821989
avanc_14,baseline,1,0.027925600006710738
avanc_14,baseline,2,0.030365999962668866
avanc_14,baseline,3,0.02437539998209104
avanc_14,baseline,4,0.024933399981819093
avanc_14,baseline,5,0.029411900031846017
avanc_14,baseline,6,0.02602009999100119
avanc_14,baseline,7,0.023979200050234795
avanc_14,baseline,8,0.028921800025273114
avanc_14,baseline,9,0.02905890002148226
avanc_14,baseline,10,0.02509399998234585
avanc_14,baseline,11,0.02406580001115799
avanc_14,baseline,12,0.0314055000199005
avanc_14,baseline,13,0.025857399974483997
avanc_14,baseline,14,0.023603200039360672
avanc_14,baseline,15,0.038593600038439035
avanc_14,baseline,16,0.02741109998896718
avanc_14,baseline,17,0.02356629999121651
avanc_14,baseline,18,0.03024999995250255
avanc_14,baseline,19,0.025824000011198223
avanc_14,baseline,20,0.02379579999251291
avanc_15,baseline,1,0.01749019999988377
avanc_15,baseline,2,0.016922199982218444
avanc_15,baseline,3,0.01908289996208623
avanc_15,baseline,4,0.016231300018262118
avanc_15,baseline,5,0.01994520000880584
avanc_15,baseline,6,0.01678960002027452
avanc_15,baseline,7,0.022238400008063763
avanc_15,baseline,8,0.016277600021567196
avanc_15,baseline,9,0.018899000016972423
avanc_15,baseline,10,0.016992099990602583
avanc_15,baseline,11,0.02008640003623441
avanc_15,baseline,12,0.017312999989371747
avanc_15,baseline,13,0.020239499979652464
avanc_15,baseline,14,0.016676200029905885
avanc_15,baseline,15,0.021895700017921627
avanc_15,baseline,16,0.016258299991022795
avanc_15,baseline,17,0.01922370004467666
avanc_15,baseline,18,0.017237599997315556
avanc_15,baseline,19,0.017092299996875226
avanc_15,baseline,20,0.019469099992420524
avanc_16,baseline,1,0.010928899981081486
avanc_16,baseline,2,0.011278700025286525
avanc_16,baseline,3,0.013041600002907217
avanc_16,baseline,4,0.011316999967675656
avanc_16,baseline,5,0.011580699996557087
avanc_16,baseline,6,0.010963500011712313
avanc_16,baseline,7,0.010925100010354072
avanc_16,baseline,8,0.010891899990383536
avanc_16,baseline,9,0.011161600006744266
avanc_16,baseline,10,0.01140110002597794
avanc_16,baseline,11,0.011271699971985072
avanc_16,baseline,12,0.014651399978902191
avanc_16,baseline,13,0.011070100008510053
avanc_16,baseline,14,0.01182780001545325
avanc_16,baseline,15,0.014618900022469461
avanc_16,baseline,16,0.011197200044989586
avanc_16,baseline,17,0.011300699959974736
avanc_16,baseline,18,0.014794300019275397
avanc_16,baseline,19,0.010891099984291941
avanc_16,baseline,20,0.011809399991761893
avanc_17,baseline,1,0.02359890000661835
avanc_17,baseline,2,0.017809699987992644
avanc_17,baseline,3,0.019999300013296306
avanc_17,baseline,4,0.01954529999056831
avanc_17,baseline,5,0.025672200019471347
avanc_17,baseline,6,0.01777199999196455
avanc_17,baseline,7,0.02452350000385195
avanc_17,baseline,8,0.018050700018648058
avanc_17,baseline,9,0.019848500029183924
avanc_17,baseline,10,0.019828699994832277
avanc_17,baseline,11,0.01782680000178516
avanc_17,baseline,12,0.018590299994684756
avanc_17,baseline,13,0.018125500006135553
avanc_17,baseline,14,0.01965329999802634
avanc_17,baseline,15,0.01799399999435991
avanc_17,baseline,16,0.017729900020640343
avanc_17,baseline,17,0.025697399978525937
avanc_17,baseline,18,0.018187799956649542
avanc_17,baseline,19,0.01802680001128465
avanc_17,baseline,20,0.020583099976647645
avanc_18,baseline,1,0.0500088999979198
avanc_18,baseline,2,0.04603949998272583
avanc_18,baseline,3,0.04678650002460927
avanc_18,baseline,4,0.045577599958050996
avanc_18,baseline,5,0.04677439999068156
avanc_18,baseline,6,0.04329689999576658
avanc_18,baseline,7,0.04276019998360425
avanc_18,baseline,8,0.049987000005785376
avanc_18,baseline,9,0.049018400022760034
avanc_18,baseline,10,0.04730480001308024
avanc_18,baseline,11,0.04597699997248128
avanc_18,baseline,12,0.0453797000227496
avanc_18,baseline,13,0.045311099966056645
avanc_18,baseline,14,0.04850650002481416
avanc_18,baseline,15,0.047368899977300316
avanc_18,baseline,16,0.049343899998348206
avanc_18,baseline,17,0.04819400003179908
avanc_18,baseline,18,0.043641299998853356
avanc_18,baseline,19,0.054319199989549816
avanc_18,baseline,20,0.043632400047499686
avanc_19,baseline,1,0.015554999990854412
avanc_19,baseline,2,0.023936200013849884
avanc_19,baseline,3,0.01561330002732575
avanc_19,baseline,4,0.020379099994897842
